X,Y,objectid,numero_estacion,nombre_estacion,coordenada_x_estacion,coordenada_y_estacion,ubicacion_estacion,troncal_estacion,numero_vagones_estacion,numero_accesos_estacion,biciestacion_estacion,capacidad_biciestacion_estacion,tipo_estacion,biciparqueadero_estacion,latitud_estacion,longitud_estacion,codigo_nodo_estacion,componente_wifi,componente_aplificacion,globalid,created_user,created_date,last_edited_user,last_edited_date,log_replica,id_trazado_troncal
1000309.4634,1014501.2703,102,03004,Gratamira,1000308.5843,1014501.3005,Av Suba Cl 135,Suba,2,1,0,0,4,0,4.72733705,-74.07472646,3004,Valor SI al campo,,{534E8C6B-03C9-480E-91F8-00DBFCDCB08D},,,editorTroncal,2024/08/05 13:57:40+00,,TZ003
995432.6356,1003577.1349,103,05105,Pradera,995432.3612,1003575.4478,Av. Americas -KR 64,Americas,2,1,1,32,4,1,4.62853238,-74.11867306,5105,Valor SI al campo,,{522FBE6B-76F6-412E-965F-49ED07FCB929},,,editorTroncal,2024/08/05 13:57:41+00,,TZ009
1000354.2695,1001090.12,104,10007,Las Nieves,1000353.8669,1001090.3752,Kra 10- CL 18,Cr 7-10,2,2,0,0,4,0,4.60606079,-74.07431885,10007,Valor SI al campo,,{24F169A8-3EE3-415B-A80E-0E6D1087DB95},,,editorTroncal,2024/08/05 13:57:41+00,,TZ018
995605.852,1008719.1136,105,06001,Modelia,995605.3141,1008718.7818,KR 84,Calle 26,2,1,0,0,4,0,4.67504413,-74.11711695,6001,Valor SI al campo,,{4CCBA4A8-A249-40BB-9EE9-F05F14909C2F},,,editorTroncal,2024/08/05 13:57:42+00,,TZ016
994131.9395,997136.487,106,08002,Biblioteca,994132.0024,997136.3229,CL 48A Sur,Tunal,1,1,0,0,4,0,4.5703019,-74.13038805,8002,Valor SI al campo,,{DC11D13C-27E6-41B0-9871-D6DEB1DBB035},,,editorTroncal,2024/08/05 13:57:42+00,,TZ014
998972.2392,1001498.2853,107,12004,San Facon Carrera 22,998978.6699,1001505.8574,Av. Americas -KR 22,Americas,2,2,0,0,4,0,4.60981799,-74.08671226,12004,Valor SI al campo,,{7D8B57F3-FBDA-4FE7-A4A6-0B21099E5733},,,editorTroncal,2024/08/05 13:57:43+00,,TZ009
1001400.1806,1005773.2282,108,09120,Calle 63,1001403.1673,1005772.7318,CL 63 - CL 60,Caracas,3,2,0,0,4,0,4.64840372,-74.06486173,9120,Valor SI al campo,,{66EDACF9-8C1C-4820-AC83-31A697D35ED3},,,editorTroncal,2024/08/05 13:57:43+00,,TZ001
1001605.9431,1006492.5527,109,09121,Flores – Areandina,1001607.3567,1006491.7631,CL 69  - CL 67,Caracas,2,2,0,0,4,0,4.65490596,-74.06302132,9121,Valor SI al campo,,{817FF89D-65FB-4906-AD22-84D002B762DA},,,editorTroncal,2024/08/05 13:57:43+00,,TZ001
1000509.2551,1000544.7796,110,14004,Museo del Oro,1000511.5758,1000548.5192,KR 2,Eje Ambiental,1,2,0,0,4,0,4.60116072,-74.07289759,14004,Valor SI al campo,,{9742DF7A-2C9D-4D85-9E03-7FA9203E29FB},,,editorTroncal,2024/08/05 13:57:44+00,,TZ015
994225.7719,999708.646400001,111,07006,General Santander,994225.7629,999709.2032,AutoSur-Kr43,NQS,3,1,1,48,2,1,4.59356881,-74.1295448,7006,Valor SI al campo,,{E4C2B86A-2DAB-40FE-A09E-DF26640CC9EB},,,editorTroncal,2024/08/05 13:57:44+00,,TZ010
1000706.2266,1012201.1706,112,03007,Humedal Córdoba,1000706.4471,1012201.2159,Av Suba CL 119,Suba,2,1,0,0,4,0,4.70653717,-74.07114047,3007,Valor SI al campo,,{7A07C351-756A-4EFA-B0EB-899B4695A52D},,,editorTroncal,2024/08/05 13:57:45+00,,TZ003
993573.7711,996918.9482,113,08001,Parque,993573.7711,996918.9482,CL 55 Sur,Tunal,1,1,0,0,4,0,4.56833577,-74.13541846,8001,Valor SI al campo,,{B46A7BAD-D331-4557-A216-939E55B93F1A},,,editorTroncal,2024/08/05 13:57:45+00,,TZ014
998960.3048,998897.366800001,114,10004,Policarpa,998955.4783,998900.443,Kra 10- CL 3 sur,Cr 7-10,2,2,0,0,4,0,4.58625694,-74.08692095,10004,Valor SI al campo,,{B32F9F95-B4DC-4DDF-9EE7-BE126AA48747},,,editorTroncal,2024/08/05 13:57:46+00,,TZ018
1000918.9183,1002106.2172,115,10009,Museo Nacional,1000918.9183,1002106.2172,Kra 7- CL 32,Cr 7-10,2,1,0,0,4,0,4.61524712,-74.06922646,10009,Valor SI al campo,,{D04F23EB-8D5E-4A18-9669-7DEA25D2C9CE},,,editorTroncal,2024/08/05 13:57:46+00,,TZ019
999031.564,999873.6313,116,09108,Hospital,999033.2565,999872.2984,CL 4 - CL 2,Caracas,2,1,0,0,4,0,4.59504554,-74.08622014,9108,Valor SI al campo,,{BD746C6E-B15D-46C2-BAFD-BA83433448FE},,,editorTroncal,2024/08/05 13:57:46+00,,TZ012
996030.9939,1008051.3483,117,06002,Normandía,996033.2243,1008052.7496,KR 73a,Calle 26,2,1,0,0,4,0,4.66902134,-74.11325992,6002,Valor SI al campo,,{06C798D5-D8C4-45B1-A9FD-FD0759DC7BDC},,,editorTroncal,2024/08/05 13:57:47+00,,TZ016
990294.7252,999954.1994,118,07001,Perdomo,990294.728,999953.6265,AutoSur-Kr78C,NQS,2,1,0,0,4,0,4.59577569,-74.16497116,7001,Valor SI al campo,,{957AC972-2D27-448B-A823-48E62322B8F1},,,editorTroncal,2024/08/05 13:57:47+00,,TZ010
998584.9837,999409.4167,119,09107,Hortúa,998587.4635,999407.2808,CL 1 Sur - CL 3 Sur,Caracas,2,2,0,0,4,0,4.59084028,-74.09023752,9107,Valor SI al campo,,{987658CF-567A-4E61-ACE5-E315F5AABB02},,,editorTroncal,2024/08/05 13:57:48+00,,TZ012
999214.8821,1010472.01,120,04103,Ferias,999214.8694,1010471.9998,Transversal  67 Bis,Calle 80,1,1,0,0,4,0,4.69089972,-74.08458441,4103,Valor SI al campo,,{94B9AFA1-E76B-42CA-AB59-2B4C9044C334},,,editorTroncal,2024/08/05 13:57:48+00,,TZ005
1001188.121,1004573.8752,121,09118,Marly,1001191.5198,1004573.2678,CL 51 - CL 49,Caracas,3,2,0,0,4,0,4.63755688,-74.06676939,9118,Valor SI al campo,,{74540360-5A82-430C-95D7-1EEE2B7B8F74},,,editorTroncal,2024/08/05 13:57:49+00,,TZ001
990339.0379,1004085.2776,122,05001,Patio Bonito,990335.734,1004088.9552,Av.Cali - CL 40 sur,Americas,2,2,0,0,4,0,4.63317191,-74.16460618,5001,Valor SI al campo,,{06044B2C-EBFE-4BCC-A24B-CFAE1D5B4E13},,,editorTroncal,2024/08/05 13:57:49+00,,TZ009
997568.8992,998539.464600001,123,09105,Fucha,997570.9003,998536.3008,CL 13 Sur - CL 16 Su,Caracas,2,1,0,0,4,0,4.58296368,-74.09939841,9105,Valor SI al campo,,{9E8A2E69-BEBE-4F76-A187-8EECADE2B6ED},,,editorTroncal,2024/08/05 13:57:50+00,,TZ012
998450.0148,1011109.0883,124,04101,Minuto de Dios,998449.6291,1011108.396,KR 73 A,Calle 80,2,1,0,0,4,0,4.6966546,-74.09148174,4101,Valor SI al campo,,{E92E4B11-C406-474C-881F-2E6F9849E32B},,,editorTroncal,2024/08/05 13:57:50+00,,TZ005
1001010.4823,1000705.442,125,14005,Las Aguas - Centro Colombo Americano,1001010.4823,1000705.442,KR 4,Eje Ambiental,1,2,0,0,3,0,4.60257975,-74.06840143,14005,Valor SI al campo,,{D2531DC9-32C1-4AFB-9718-2F63E61A947F},,,editorTroncal,2024/08/05 13:57:51+00,,TZ015
1000305.7712,1013840.4896,126,03005,Suba - AV. Boyacá,1000308.5759,1013840.5824,Av Suba Av Boyacá,Suba,2,2,0,0,4,0,4.72136212,-74.07472656,3005,Valor SI al campo,,{D1127937-7AD6-462D-B656-9FD72B943047},,,editorTroncal,2024/08/05 13:57:51+00,,TZ003
994760.6808,997210.689099999,127,09004,Santa Lucía,994763.7255,997209.4679,CL 46A Sur - Diagonal 4,Caracas,2,2,0,0,4,0,4.57096376,-74.12469525,9004,Valor SI al campo,,{CF481A6B-A328-421A-8A66-93117A6DFA6E},,,editorTroncal,2024/08/05 13:57:52+00,,TZ012
1001150.7397,1008889.2029,128,03014,San Martín,1001158.5475,1008884.2936,Av Suba Cl 81,Suba,2,1,0,0,4,0,4.67654191,-74.06706598,3014,Valor SI al campo,,{C9D40C41-0A27-4E51-918E-7B8ECAB318B5},,,editorTroncal,2024/08/05 13:57:52+00,,TZ003
1001129.0028,1000934.7622,129,06111,Universidades – CityU,1001131.6384,1000933.5853,KR 4,Calle 26,2,2,0,0,3,0,4.60464286,-74.06730954,6111,Valor SI al campo,,{7A559314-71F8-440D-A3B1-F5ABEF7DD8D5},,,editorTroncal,2024/08/05 13:57:52+00,,TZ016
997213.7311,1000605.4397,130,07113,Santa Isabel,997214.4724,1000604.5699,Kr 30 Av 3,NQS,2,1,0,0,4,0,4.60166717,-74.10261112,7113,Valor SI al campo,,{9B1D0925-067D-4E38-A55C-874B831E3DC0},,,editorTroncal,2024/08/05 13:57:53+00,,TZ008
1001592.1699,1009772.2709,131,03012,Suba - Calle 95,1001592.7282,1009772.5676,Av Suba Cl 97,Suba,2,1,0,0,4,0,4.68457458,-74.06315256,3012,Valor SI al campo,,{8A40AE34-E55E-4C3C-A85B-2E81D7A6DE82},,,editorTroncal,2024/08/05 13:57:53+00,,TZ003
996990.0797,1003259.4214,132,12000,Puente Aranda,996989.4255,1003258.7268,CL 13 KR 47,Americas,2,1,0,0,4,0,4.62566891,-74.10464015,12000,Valor SI al campo,,{5397B82B-7711-459A-8EE4-10A24B5C7BE9},,,editorTroncal,2024/08/05 13:57:54+00,,TZ009
995909.4516,997851.6316,133,09101,Quiroga,995908.7432,997854.3104,CL 31 Sur - CL 32 Su,Caracas,2,1,0,0,4,0,4.57679575,-74.11437708,9101,Valor SI al campo,,{277149A0-A0C6-445E-9DAA-AB5A1DFEF043},,,editorTroncal,2024/08/05 13:57:54+00,,TZ012
1001150.1478,1010736.4295,134,03010,Puentelargo,1001150.1478,1010736.4295,Av Suba Tv 48,Suba,2,1,0,0,4,0,4.69329094,-74.06714144,3010,Valor SI al campo,,{3BCF1104-CD7E-4C27-AAA4-105B3A3C0A87},,,editorTroncal,2024/08/05 13:57:55+00,,TZ003
